Nume Echipă (Format Meciuri),Valoare Lot (M€),Coeficient UEFA
Real Madrid es,1420,148
Manchester City eng,1340,152
Arsenal eng,1280,88
Paris S-G fr,1210,134
Barcelona es,1150,102
Liverpool eng,1090,126
Bayern Munich de,1020,125
Chelsea eng,985,96
Inter it,710,118
Leverkusen de,640,104
Atlético Madrid es,615,94
Juventus it,580,88
Atalanta it,520,92
Dortmund de,515,101
Aston Villa eng,510,38
Sporting CP pt,495,66
Milan it,480,68
RB Leipzig de,445,102
Benfica pt,390,84
FC Porto pt,365,82
Monaco fr,355,36
Athletic Club es,340,25
Stuttgart de,325,28
PSV Eindhoven nl,310,62
Feyenoord nl,295,65
Lille fr,270,56
Bologna it,260,24
Girona es,210,22
Club Brugge be,205,70
Galatasaray tr,195,45
Shakhtar ua,170,66
Celtic sct,145,38
RB Salzburg at,130,54
Sparta Prague cz,95,29
Dinamo Zagreb hr,85,58
Red Star rs,80,44
Young Boys ch,63.48,34.5
Sturm Graz at,47.68,14.5
Slovan Bratislava sk,31.05,13
