Home,xG_Home,Score,xG_Away,Away,,,,,,,,,
Liverpool eng,2.7,2–0,1.2,es Real Madrid,,,,,,,,,
Bologna it,1.7,1–2,2.1,fr Lille,,,,,,,,,
Dinamo Zagreb hr,0.2,0–3,1.7,de Dortmund,,,,,,,,,
Monaco fr,1.6,2–3,3,pt Benfica,,,,,,,,,
PSV Eindhoven nl,2.6,3–2,1,ua Shakhtar,,,,,,,,,
,,,,,,,,,,,,,
Dinamo Zagreb hr,0.5,0–0,0.4,sct Celtic,,,,,,,,,
Girona es,1.2,0–1,1.8,eng Liverpool,,,,,,,,,
RB Leipzig de,2.2,2–3,2.1,eng Aston Villa,,,,,,,,,
Brest fr,1.6,1–0,1.6,nl PSV Eindhoven,,,,,,,,,
RB Salzburg at,0.2,0–3,3.2,fr Paris S-G,,,,,,,,,
Atalanta it,3.3,2–3,2.1,es Real Madrid,,,,,,,,,
Leverkusen de,1.1,1–0,0.3,it Inter,,,,,,,,,
Club Brugge be,1,2–1,1.2,pt Sporting CP,,,,,,,,,
Shakhtar ua,1.2,1–5,3.6,de Bayern Munich,,,,,,,,,
Atlético Madrid es,2,3–1,1,sk Slovan Bratislava,,,,,,,,,
Lille fr,2,3–2,1.3,at Sturm Graz,,,,,,,,,
Benfica pt,1.3,0–0,0.2,it Bologna,,,,,,,,,
Arsenal eng,2.3,3–0,0.5,fr Monaco,,,,,,,,,
Milan it,2,2–1,0.4,rs Red Star,,,,,,,,,
Feyenoord nl,1,4–2,0.7,cz Sparta Prague,,,,,,,,,
Dortmund de,2.7,2–3,2,es Barcelona,,,,,,,,,
Stuttgart de,2.3,5–1,0.2,ch Young Boys,,,,,,,,,
Juventus it,1.1,2–0,1.2,eng Manchester City,,,,,,,,,
,,,,,,,,,,,,,
Monaco fr,1.5,1–0,0.9,eng Aston Villa,,,,,,,,,
Atalanta it,4.9,5–0,0.8,at Sturm Graz,,,,,,,,,
Liverpool eng,2.5,2–1,0.5,fr Lille,,,,,,,,,
Benfica pt,3.3,4–5,3.6,es Barcelona,,,,,,,,,
Slovan Bratislava sk,0.6,1–3,3.4,de Stuttgart,,,,,,,,,
Atlético Madrid es,0.8,2–1,0.8,de Leverkusen,,,,,,,,,
Red Star rs,2.6,2–3,0.8,nl PSV Eindhoven,,,,,,,,,
Bologna it,2.1,2–1,1,de Dortmund,,,,,,,,,
Club Brugge be,0.7,0–0,0.4,it Juventus,,,,,,,,,
RB Leipzig de,2.3,2–1,0.9,pt Sporting CP,,,,,,,,,
Shakhtar ua,1.9,2–0,0.4,fr Brest,,,,,,,,,
Celtic sct,1.8,1–0,1,ch Young Boys,,,,,,,,,
Arsenal eng,2.4,3–0,0.1,hr Dinamo Zagreb,,,,,,,,,
Paris S-G fr,2.8,4–2,1.7,eng Manchester City,,,,,,,,,
Feyenoord nl,1.7,3–0,2.4,de Bayern Munich,,,,,,,,,
Real Madrid es,2.8,5–1,0.4,at RB Salzburg,,,,,,,,,
Sparta Prague cz,0.4,0–1,0.9,it Inter,,,,,,,,,
Milan it,1.3,1–0,1,es Girona,,,,,,,,,
,,,,,,,,,,,,,
Manchester City eng,2,3–1,1.1,be Club Brugge,,,,,,,,,
Sporting CP pt,1.3,1–1,1.1,it Bologna,,,,,,,,,
Aston Villa eng,3.9,4–2,0.8,sct Celtic,,,,,,,,,
Juventus it,0.9,0–2,2.2,pt Benfica,,,,,,,,,
Brest fr,1.4,0–3,2.6,es Real Madrid,,,,,,,,,
RB Salzburg at,0.6,1–4,2.1,es Atlético Madrid,,,,,,,,,
Dinamo Zagreb hr,1.4,2–1,1.1,it Milan,,,,,,,,,
Bayern Munich de,3.7,3–1,0.9,sk Slovan Bratislava,,,,,,,,,
Sturm Graz at,1.3,1–0,1.5,de RB Leipzig,,,,,,,,,
Lille fr,1.3,6–1,0.7,nl Feyenoord,,,,,,,,,
Girona es,0.7,1–2,2.1,eng Arsenal,,,,,,,,,
Young Boys ch,0.4,0–1,1.8,rs Red Star,,,,,,,,,
Stuttgart de,0.8,1–4,2.4,fr Paris S-G,,,,,,,,,
Inter it,3.9,3–0,0.2,fr Monaco,,,,,,,,,
Dortmund de,2.4,3–1,0.4,ua Shakhtar,,,,,,,,,
Barcelona es,2.4,2–2,1.2,it Atalanta,,,,,,,,,
PSV Eindhoven nl,1.3,3–2,1.6,eng Liverpool,,,,,,,,,
Leverkusen de,1.7,2–0,0.7,cz Sparta Prague,,,,,,,,,
